field.Element:Text;field.Attribute:name;Attribute:type;TargetTrialID
4063;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1645
4064;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1647
4065;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1647
4066;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1648
4067;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1649
4068;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1650
4069;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1652
4070;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1652
4071;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1653
4072;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1654
4073;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1655
4074;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1657
4075;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1657
4076;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1658
4077;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1659
4078;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1660
4079;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1662
4080;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1662
4081;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1663
4082;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1664
4083;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1665
4084;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1667
4085;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1667
4086;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1668
4087;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1669
4088;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1670
4089;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1672
4090;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1672
4091;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1673
4092;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1674
4093;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1675
4094;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1677
4095;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1677
4096;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1678
4097;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1679
4098;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1680
4099;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1682
4100;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1682
4101;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1683
4102;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1684
4103;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1685
4104;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1687
4105;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1687
4106;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1688
4107;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1689
4108;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1690
4109;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1692
4110;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1692
4111;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1693
4112;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1694
4113;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1695
4114;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1697
4115;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1697
4116;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1698
4117;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1699
4118;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1700
4119;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1702
4120;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1702
4121;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1703
4122;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1704
4123;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1705
4124;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1707
4125;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1707
4126;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1708
4127;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1709
4128;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1710
4129;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1712
4130;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1712
4131;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1713
4132;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1714
4133;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1715
4134;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1717
4135;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1717
4136;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1718
4137;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1719
4138;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1720
4139;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1722
4140;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1722
4141;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1723
4142;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1724
4143;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1725
4144;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1727
4145;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1727
4146;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1728
4147;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1729
4148;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1730
4149;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1732
4150;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1732
4151;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1733
4152;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1734
4153;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1735
4154;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1737
4155;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1737
4156;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1738
4157;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1739
4158;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1740
4159;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1742
4160;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1742
4161;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1743
4162;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1744
4163;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1745
4164;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1747
4165;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1747
4166;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1748
4167;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1749
4168;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1750
4169;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1752
4170;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1752
4171;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1753
4172;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1754
4173;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1755
4174;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1757
4175;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1757
4176;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1758
4177;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1759
4178;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1760
4179;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1762
4180;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1762
4181;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 0)≻[monster/monsters] of any family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;1763
4182;index;DialogTableEntry;#VALEUR!
